Item#,Total sales,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23,hour 24
44,2905,0.126,0.028,0.060,0.030,0.052,0.027,0.001,0.008,0.057,0.081,0.068,0.000,0.015,0.055,0.022,0.022,0.043,0.033,0.041,0.026,0.006,0.000,0.047,0.031
45,2703,0.136,0.055,0.012,0.061,0.034,0.061,0.041,0.081,0.040,0.033,0.045,0.064,0.013,0.017,0.029,0.031,0.026,0.023,0.020,0.027,0.025,0.032,0.001,0.018
46,3016,0.113,0.067,0.060,0.062,0.060,0.012,0.074,0.046,0.037,0.050,0.042,0.043,0.025,0.035,0.033,0.024,0.036,0.048,0.047,0.046,0.020,0.019,0.000,0.000
47,3669,0.111,0.031,0.040,0.053,0.021,0.027,0.032,0.058,0.015,0.003,0.022,0.044,0.058,0.187,0.024,0.038,0.027,0.042,0.046,0.011,0.032,0.017,0.049,0.011
48,4098,0.108,0.028,0.003,0.000,0.026,0.010,0.051,0.058,0.076,0.039,0.066,0.059,0.047,0.020,0.047,0.041,0.033,0.028,0.002,0.033,0.003,0.005,0.020,0.033
49,3060,0.142,0.062,0.046,0.030,0.057,0.003,0.009,0.059,0.060,0.024,0.029,0.062,0.038,0.074,0.041,0.024,0.027,0.048,0.039,0.024,0.014,0.037,0.001,0.041
50,13908,0.122,0.045,0.025,0.031,0.076,0.063,0.005,0.004,0.083,0.012,0.027,0.083,0.001,0.029,0.049,0.040,0.041,0.026,0.040,0.010,0.039,0.015,0.019,0.025
51,3447,0.102,0.062,0.006,0.036,0.031,0.013,0.001,0.030,0.067,0.025,0.009,0.050,0.021,0.016,0.020,0.032,0.022,0.024,0.014,0.039,0.041,0.000,0.001,0.043
52,2833,0.131,0.003,0.002,0.028,0.020,0.052,0.064,0.043,0.078,0.029,0.080,0.046,0.060,0.072,0.031,0.049,0.033,0.040,0.044,0.026,0.002,0.009,0.018,0.040
53,3581,0.110,0.066,0.005,0.000,0.036,0.044,0.058,0.069,0.033,0.079,0.074,0.002,0.031,0.012,0.037,0.044,0.026,0.028,0.024,0.017,0.005,0.046,0.038,0.020
54,3921,0.113,0.007,0.051,0.019,0.039,0.015,0.029,0.082,0.021,0.037,0.074,0.040,0.067,0.012,0.044,0.036,0.031,0.021,0.043,0.006,0.008,0.008,0.031,0.034
55,4311,0.127,0.037,0.036,0.029,0.061,0.032,0.030,0.076,0.019,0.008,0.001,0.071,0.061,0.102,0.035,0.034,0.046,0.022,0.010,0.007,0.011,0.015,0.033,0.034
56,3647,0.147,0.081,0.002,0.072,0.050,0.080,0.063,0.052,0.045,0.041,0.025,0.017,0.065,0.019,0.020,0.031,0.028,0.045,0.002,0.004,0.005,0.008,0.037,0.041
57,3491,0.123,0.007,0.015,0.041,0.037,0.015,0.034,0.028,0.005,0.018,0.077,0.043,0.036,0.042,0.036,0.027,0.046,0.045,0.013,0.037,0.013,0.033,0.020,0.037
58,4517,0.133,0.077,0.058,0.029,0.058,0.067,0.007,0.006,0.048,0.063,0.055,0.066,0.041,0.209,0.049,0.028,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000
59,5315,0.136,0.037,0.072,0.005,0.012,0.025,0.004,0.017,0.011,0.082,0.045,0.068,0.033,0.061,0.025,0.023,0.032,0.044,0.041,0.003,0.034,0.048,0.009,0.031
60,3768,0.107,0.038,0.049,0.041,0.032,0.056,0.016,0.050,0.065,0.010,0.059,0.062,0.030,0.040,0.037,0.022,0.024,0.048,0.029,0.005,0.011,0.016,0.020,0.045
61,2812,0.124,0.024,0.047,0.055,0.023,0.063,0.036,0.062,0.063,0.006,0.042,0.081,0.078,0.024,0.022,0.046,0.045,0.022,0.002,0.034,0.023,0.047,0.027,0.000
62,5372,0.105,0.040,0.065,0.038,0.020,0.067,0.017,0.081,0.025,0.075,0.031,0.039,0.043,0.064,0.025,0.035,0.029,0.041,0.030,0.032,0.025,0.028,0.007,0.016
63,3105,0.115,0.010,0.076,0.053,0.041,0.073,0.068,0.008,0.017,0.017,0.030,0.045,0.022,0.301,0.023,0.047,0.024,0.032,0.000,0.000,0.000,0.000,0.000,0.000
64,4139,0.105,0.015,0.059,0.008,0.067,0.080,0.071,0.022,0.083,0.026,0.064,0.059,0.066,0.042,0.028,0.025,0.025,0.038,0.002,0.037,0.022,0.041,0.014,0.000
65,3028,0.139,0.007,0.037,0.041,0.012,0.078,0.019,0.064,0.051,0.046,0.019,0.023,0.078,0.021,0.043,0.049,0.021,0.035,0.030,0.019,0.008,0.043,0.031,0.005
66,3343,0.125,0.015,0.015,0.004,0.026,0.059,0.083,0.041,0.022,0.030,0.054,0.079,0.002,0.063,0.045,0.030,0.028,0.030,0.050,0.042,0.010,0.041,0.044,0.012
67,8305,0.123,0.034,0.020,0.061,0.014,0.047,0.050,0.065,0.054,0.036,0.036,0.015,0.024,0.012,0.048,0.042,0.043,0.031,0.018,0.029,0.041,0.007,0.015,0.046
68,3923,0.122,0.033,0.003,0.039,0.038,0.020,0.070,0.015,0.041,0.082,0.076,0.048,0.083,0.089,0.026,0.028,0.022,0.044,0.038,0.014,0.036,0.025,0.010,0.000
69,3043,0.143,0.063,0.075,0.063,0.022,0.022,0.007,0.081,0.076,0.070,0.002,0.008,0.015,0.023,0.041,0.023,0.050,0.021,0.022,0.008,0.024,0.049,0.008,0.008
70,4121,0.139,0.026,0.059,0.065,0.056,0.042,0.016,0.080,0.083,0.070,0.021,0.032,0.081,0.189,0.023,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
71,3423,0.136,0.019,0.024,0.007,0.050,0.042,0.046,0.028,0.064,0.044,0.068,0.016,0.005,0.020,0.046,0.024,0.035,0.037,0.009,0.022,0.042,0.010,0.016,0.046
72,5395,0.139,0.067,0.055,0.012,0.033,0.056,0.023,0.077,0.036,0.036,0.078,0.016,0.025,0.010,0.027,0.035,0.045,0.037,0.042,0.019,0.045,0.016,0.003,0.018
73,6505,0.118,0.007,0.057,0.072,0.052,0.067,0.020,0.025,0.076,0.004,0.025,0.070,0.052,0.041,0.043,0.049,0.038,0.039,0.020,0.030,0.049,0.030,0.019,0.000
74,4128,0.140,0.028,0.074,0.039,0.061,0.025,0.011,0.017,0.082,0.050,0.056,0.018,0.015,0.102,0.035,0.022,0.022,0.034,0.017,0.017,0.017,0.032,0.017,0.023
75,7559,0.130,0.027,0.070,0.066,0.068,0.008,0.048,0.082,0.073,0.013,0.025,0.012,0.040,0.081,0.025,0.049,0.041,0.039,0.004,0.039,0.023,0.034,0.003,0.000
76,3968,0.115,0.078,0.030,0.007,0.005,0.021,0.041,0.036,0.007,0.009,0.010,0.031,0.040,0.029,0.029,0.045,0.028,0.042,0.007,0.035,0.038,0.049,0.018,0.030
77,13716,0.143,0.066,0.076,0.006,0.056,0.052,0.041,0.054,0.001,0.009,0.048,0.048,0.066,0.027,0.050,0.038,0.039,0.037,0.006,0.021,0.033,0.034,0.002,0.003
78,3151,0.132,0.064,0.060,0.042,0.057,0.051,0.003,0.044,0.013,0.016,0.056,0.017,0.051,0.045,0.022,0.042,0.046,0.024,0.033,0.008,0.043,0.010,0.036,0.036
79,3574,0.119,0.076,0.083,0.010,0.005,0.012,0.004,0.049,0.082,0.034,0.068,0.020,0.049,0.047,0.047,0.027,0.034,0.021,0.022,0.049,0.039,0.036,0.002,0.037
80,8817,0.149,0.037,0.081,0.032,0.018,0.066,0.010,0.057,0.009,0.079,0.082,0.029,0.043,0.090,0.024,0.043,0.044,0.023,0.000,0.030,0.041,0.012,0.000,0.000
81,7885,0.120,0.002,0.013,0.071,0.017,0.016,0.038,0.025,0.000,0.007,0.026,0.039,0.076,0.040,0.022,0.031,0.028,0.034,0.006,0.007,0.007,0.025,0.039,0.028
82,2865,0.142,0.016,0.073,0.048,0.014,0.024,0.003,0.057,0.069,0.060,0.058,0.075,0.063,0.009,0.027,0.038,0.025,0.032,0.039,0.002,0.023,0.023,0.034,0.041
83,3068,0.142,0.076,0.080,0.073,0.052,0.033,0.032,0.044,0.025,0.007,0.054,0.047,0.017,0.084,0.031,0.036,0.044,0.044,0.020,0.028,0.004,0.028,0.000,0.000
84,2888,0.134,0.026,0.018,0.002,0.035,0.004,0.034,0.022,0.003,0.066,0.083,0.080,0.050,0.023,0.033,0.043,0.031,0.037,0.004,0.025,0.011,0.025,0.034,0.033
85,3903,0.139,0.075,0.078,0.024,0.052,0.001,0.045,0.071,0.073,0.036,0.056,0.037,0.065,0.026,0.046,0.040,0.021,0.030,0.011,0.043,0.027,0.004,0.000,0.000
86,3507,0.128,0.046,0.063,0.004,0.075,0.019,0.055,0.037,0.077,0.066,0.060,0.016,0.079,0.047,0.040,0.046,0.021,0.020,0.015,0.024,0.021,0.022,0.020,0.000
87,3650,0.149,0.043,0.082,0.049,0.030,0.067,0.034,0.022,0.033,0.053,0.075,0.066,0.028,0.084,0.022,0.031,0.028,0.025,0.031,0.021,0.013,0.007,0.006,0.000
88,4210,0.126,0.031,0.024,0.007,0.034,0.020,0.014,0.032,0.007,0.029,0.083,0.071,0.042,0.182,0.040,0.047,0.036,0.021,0.012,0.044,0.009,0.032,0.000,0.031
89,7672,0.117,0.041,0.012,0.046,0.060,0.059,0.077,0.009,0.057,0.034,0.037,0.072,0.021,0.040,0.030,0.024,0.037,0.042,0.003,0.010,0.040,0.046,0.047,0.000
90,3767,0.139,0.047,0.072,0.039,0.020,0.008,0.017,0.001,0.018,0.064,0.074,0.052,0.040,0.024,0.046,0.043,0.043,0.038,0.040,0.048,0.038,0.048,0.039,0.000
91,3039,0.119,0.003,0.033,0.021,0.025,0.017,0.031,0.068,0.041,0.081,0.068,0.020,0.007,0.220,0.036,0.041,0.029,0.024,0.046,0.009,0.032,0.028,0.000,0.000
92,5243,0.148,0.009,0.041,0.005,0.033,0.082,0.006,0.034,0.037,0.003,0.035,0.048,0.065,0.009,0.039,0.033,0.031,0.045,0.020,0.019,0.019,0.035,0.011,0.031
93,4712,0.108,0.001,0.028,0.040,0.058,0.041,0.029,0.083,0.004,0.004,0.057,0.036,0.023,0.004,0.021,0.042,0.023,0.040,0.041,0.027,0.039,0.042,0.047,0.019
94,7637,0.142,0.015,0.039,0.073,0.012,0.014,0.054,0.015,0.000,0.056,0.082,0.004,0.045,0.134,0.043,0.026,0.024,0.033,0.021,0.006,0.020,0.024,0.034,0.005
95,4871,0.127,0.044,0.049,0.066,0.032,0.057,0.063,0.041,0.042,0.036,0.010,0.010,0.023,0.075,0.034,0.035,0.021,0.046,0.010,0.020,0.050,0.003,0.018,0.050
96,3868,0.127,0.016,0.067,0.055,0.049,0.019,0.014,0.077,0.015,0.018,0.015,0.075,0.036,0.263,0.035,0.032,0.037,0.024,0.026,0.000,0.000,0.000,0.000,0.000
97,3029,0.147,0.070,0.038,0.032,0.056,0.050,0.040,0.078,0.035,0.030,0.076,0.010,0.005,0.040,0.032,0.033,0.034,0.022,0.006,0.005,0.040,0.005,0.000,0.020
98,4904,0.125,0.008,0.006,0.065,0.037,0.069,0.015,0.034,0.047,0.066,0.081,0.013,0.047,0.059,0.031,0.042,0.028,0.021,0.045,0.049,0.005,0.035,0.031,0.002
99,3992,0.145,0.017,0.025,0.052,0.031,0.047,0.040,0.004,0.030,0.076,0.025,0.046,0.082,0.180,0.021,0.050,0.037,0.048,0.030,0.015,0.000,0.000,0.000,0.000
100,3250,0.143,0.061,0.061,0.039,0.051,0.012,0.055,0.022,0.071,0.047,0.080,0.041,0.002,0.007,0.036,0.040,0.024,0.033,0.028,0.025,0.048,0.013,0.036,0.022
101,3825,0.113,0.072,0.068,0.074,0.080,0.073,0.072,0.023,0.064,0.063,0.036,0.027,0.056,0.097,0.038,0.028,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000
102,3722,0.103,0.080,0.007,0.058,0.015,0.052,0.072,0.053,0.045,0.060,0.001,0.021,0.017,0.098,0.025,0.039,0.025,0.039,0.023,0.041,0.016,0.014,0.018,0.036
103,4520,0.121,0.047,0.053,0.045,0.031,0.061,0.029,0.062,0.063,0.016,0.025,0.018,0.042,0.133,0.023,0.039,0.033,0.050,0.028,0.014,0.038,0.006,0.021,0.000
104,7177,0.113,0.012,0.077,0.029,0.046,0.058,0.042,0.015,0.054,0.028,0.031,0.066,0.062,0.032,0.048,0.042,0.028,0.047,0.028,0.018,0.030,0.016,0.010,0.016
105,3666,0.123,0.082,0.042,0.015,0.051,0.008,0.031,0.065,0.075,0.031,0.011,0.000,0.075,0.042,0.046,0.028,0.025,0.040,0.025,0.038,0.028,0.010,0.037,0.028
106,6393,0.148,0.079,0.061,0.048,0.044,0.076,0.034,0.019,0.018,0.004,0.062,0.080,0.040,0.285,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
107,6602,0.128,0.036,0.019,0.008,0.046,0.011,0.056,0.002,0.065,0.022,0.022,0.002,0.079,0.077,0.049,0.026,0.028,0.032,0.017,0.015,0.005,0.046,0.016,0.043
108,2750,0.117,0.029,0.014,0.000,0.043,0.060,0.034,0.064,0.002,0.073,0.036,0.031,0.051,0.047,0.028,0.028,0.050,0.049,0.019,0.020,0.013,0.046,0.027,0.011
109,2952,0.109,0.002,0.052,0.065,0.021,0.003,0.022,0.045,0.068,0.043,0.019,0.081,0.008,0.012,0.048,0.046,0.029,0.021,0.041,0.003,0.032,0.021,0.036,0.004
110,11067,0.128,0.053,0.081,0.012,0.025,0.072,0.077,0.035,0.004,0.039,0.064,0.040,0.063,0.065,0.048,0.025,0.021,0.024,0.004,0.032,0.012,0.039,0.006,0.020
111,4583,0.130,0.029,0.057,0.071,0.041,0.035,0.081,0.036,0.026,0.042,0.032,0.052,0.009,0.093,0.047,0.023,0.029,0.033,0.048,0.012,0.024,0.047,0.000,0.000
112,2896,0.111,0.021,0.008,0.012,0.049,0.069,0.041,0.058,0.023,0.050,0.032,0.062,0.023,0.076,0.036,0.022,0.035,0.031,0.045,0.046,0.037,0.043,0.015,0.025
113,4691,0.120,0.011,0.076,0.006,0.016,0.022,0.000,0.017,0.016,0.011,0.012,0.047,0.071,0.181,0.020,0.038,0.048,0.050,0.010,0.010,0.005,0.028,0.011,0.002
114,3104,0.130,0.082,0.073,0.052,0.016,0.016,0.050,0.077,0.045,0.023,0.003,0.054,0.080,0.263,0.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
115,2784,0.136,0.050,0.065,0.013,0.019,0.072,0.071,0.004,0.060,0.065,0.060,0.023,0.003,0.051,0.021,0.039,0.021,0.029,0.027,0.042,0.003,0.019,0.001,0.025
116,4862,0.122,0.019,0.021,0.075,0.005,0.020,0.055,0.004,0.030,0.069,0.047,0.006,0.026,0.113,0.031,0.046,0.029,0.028,0.024,0.034,0.050,0.026,0.042,0.031
117,3799,0.127,0.078,0.044,0.019,0.066,0.022,0.044,0.025,0.007,0.078,0.069,0.077,0.049,0.066,0.046,0.024,0.024,0.021,0.026,0.043,0.019,0.012,0.013,0.000
118,3304,0.135,0.064,0.077,0.010,0.066,0.071,0.003,0.076,0.029,0.058,0.002,0.018,0.061,0.097,0.026,0.024,0.022,0.029,0.040,0.043,0.038,0.012,0.000,0.000
119,8179,0.107,0.063,0.061,0.066,0.075,0.041,0.012,0.046,0.055,0.075,0.078,0.031,0.046,0.054,0.023,0.047,0.027,0.045,0.000,0.026,0.021,0.000,0.000,0.000
120,5654,0.109,0.025,0.027,0.015,0.001,0.046,0.069,0.026,0.049,0.078,0.079,0.054,0.079,0.213,0.042,0.021,0.031,0.037,0.000,0.000,0.000,0.000,0.000,0.000
121,3752,0.130,0.009,0.027,0.080,0.026,0.070,0.069,0.035,0.059,0.080,0.042,0.055,0.033,0.110,0.029,0.037,0.034,0.046,0.006,0.006,0.017,0.000,0.000,0.000
122,3975,0.113,0.022,0.051,0.064,0.068,0.052,0.029,0.047,0.028,0.026,0.035,0.051,0.018,0.099,0.023,0.045,0.033,0.040,0.041,0.020,0.022,0.028,0.003,0.037
123,3084,0.111,0.028,0.079,0.034,0.041,0.044,0.071,0.035,0.068,0.052,0.027,0.026,0.078,0.191,0.036,0.020,0.022,0.036,0.000,0.000,0.000,0.000,0.000,0.000
124,4288,0.108,0.018,0.033,0.077,0.008,0.071,0.057,0.062,0.072,0.019,0.071,0.036,0.009,0.015,0.042,0.047,0.039,0.020,0.029,0.016,0.026,0.014,0.011,0.000
125,4223,0.141,0.074,0.019,0.034,0.005,0.011,0.050,0.045,0.053,0.013,0.024,0.027,0.067,0.037,0.039,0.021,0.024,0.021,0.044,0.017,0.044,0.004,0.045,0.001
126,3494,0.119,0.048,0.042,0.076,0.002,0.058,0.066,0.026,0.013,0.011,0.074,0.011,0.018,0.025,0.035,0.044,0.035,0.043,0.026,0.004,0.019,0.006,0.039,0.027
127,4165,0.134,0.068,0.039,0.050,0.003,0.002,0.046,0.037,0.014,0.032,0.058,0.079,0.060,0.023,0.041,0.044,0.034,0.024,0.030,0.018,0.004,0.013,0.028,0.034
128,3710,0.143,0.022,0.011,0.005,0.047,0.062,0.042,0.030,0.082,0.075,0.074,0.062,0.005,0.190,0.022,0.027,0.033,0.025,0.031,0.012,0.000,0.000,0.000,0.000
129,2992,0.144,0.017,0.062,0.051,0.021,0.070,0.067,0.078,0.057,0.043,0.003,0.026,0.066,0.006,0.025,0.035,0.027,0.039,0.039,0.032,0.031,0.022,0.039,0.000
130,5289,0.149,0.031,0.012,0.060,0.059,0.074,0.075,0.068,0.032,0.055,0.025,0.077,0.029,0.047,0.048,0.044,0.021,0.031,0.028,0.025,0.009,0.000,0.000,0.000
131,8638,0.149,0.011,0.045,0.053,0.005,0.042,0.041,0.063,0.055,0.037,0.069,0.037,0.053,0.212,0.046,0.035,0.047,0.001,0.000,0.000,0.000,0.000,0.000,0.000
132,5601,0.138,0.007,0.068,0.071,0.017,0.039,0.023,0.071,0.015,0.012,0.054,0.018,0.043,0.036,0.035,0.027,0.047,0.033,0.005,0.048,0.020,0.031,0.043,0.016
133,5561,0.107,0.032,0.063,0.012,0.030,0.044,0.031,0.071,0.076,0.076,0.055,0.012,0.031,0.115,0.037,0.046,0.047,0.027,0.044,0.019,0.026,0.000,0.000,0.000
134,3226,0.116,0.073,0.034,0.012,0.015,0.068,0.074,0.029,0.079,0.082,0.058,0.051,0.026,0.090,0.046,0.043,0.026,0.021,0.038,0.019,0.000,0.000,0.000,0.000
135,5564,0.103,0.002,0.001,0.057,0.028,0.012,0.045,0.009,0.000,0.040,0.044,0.077,0.015,0.008,0.049,0.045,0.042,0.038,0.048,0.002,0.048,0.030,0.012,0.025
136,4207,0.110,0.036,0.017,0.061,0.020,0.005,0.069,0.057,0.010,0.003,0.001,0.007,0.013,0.045,0.045,0.027,0.025,0.021,0.048,0.007,0.006,0.011,0.023,0.033
