Item#,Price,Beginning_of_Season,Weekend,Event_Length,Morning,Branded,Color_Popularity,ConcurrentEvents,Number_Competing_Styles_in_Event,Relative_Price_of_Competing_Styles,Num_Branded_Events12,Brand_MSRP_Index,Bottoms,Tops,Dresses,Demand,,,,
121,26.0,0,0,2,1,1,0.31,1,44,0.95,2,0.87,0,1,0,3968,,,,
122,37.0,0,0,2,1,1,0.08,1,22,0.86,0,1.20,0,0,1,3975,,,,
123,35.0,0,0,2,1,0,0.01,3,14,1.30,0,0.66,0,0,1,3606,,,,
124,28.0,1,1,2,1,1,0.00,2,16,0.91,6,0.54,0,0,1,4288,,,,
125,28.0,1,0,2,1,1,0.20,2,3,1.15,4,1.54,0,1,0,4223,,,,
126,38.0,0,1,2,1,1,0.20,2,3,1.13,3,0.59,0,1,0,3494,,,,
127,29.0,0,0,2,1,1,0.20,2,5,1.11,6,0.39,0,0,1,4165,,,,
128,28.0,0,0,2,1,1,0.20,2,8,1.19,0,0.63,0,1,0,4021,,,,
129,31.0,1,0,2,1,1,0.31,2,10,1.00,0,1.45,0,0,1,3040,,,,
130,30.0,1,0,2,1,1,0.11,2,6,0.89,2,0.78,1,0,0,5594,,,,
131,26.0,1,1,2,1,1,0.08,1,1,1.00,1,0.41,1,0,0,9907,,,,
132,28.0,0,0,2,1,1,0.07,1,3,0.43,1,0.67,0,0,0,5601,,,,
133,27.0,0,0,2,1,0,0.31,1,55,0.94,0,0.90,0,0,1,5882,,,,
134,36.0,0,1,3,1,0,0.07,3,9,0.96,0,0.60,0,1,0,3497,,,,
135,29.0,0,0,2,1,1,0.11,1,10,1.00,3,1.55,0,1,0,5564,,,,
136,29.0,1,0,3,1,1,0.02,2,31,1.19,5,0.76,0,0,1,4207,,,,
137,27.0,1,1,2,1,1,0.08,1,35,1.64,1,0.87,0,1,0,4071,,,,
138,29.0,0,0,2,0,1,0.11,3,4,0.80,6,0.43,0,1,0,4275,,,,
139,26.0,1,0,2,1,1,0.08,3,16,1.13,0,1.38,0,0,0,14130,,,,
140,27.0,1,0,2,1,1,0.31,2,4,0.87,8,0.53,1,0,0,5306,,,,
141,27.0,0,1,3,1,0,0.31,3,11,0.97,0,1.00,0,1,0,5492,,,,
142,30.0,0,0,3,1,1,0.20,4,30,0.99,5,1.21,1,0,0,4842,,,,
143,28.0,0,0,3,1,1,0.03,2,63,0.92,4,1.83,0,0,1,6312,,,,
144,27.0,1,0,1,1,1,0.20,1,10,0.83,6,0.70,0,1,0,4247,,,,
145,29.0,0,0,2,1,0,0.20,2,22,1.05,0,0.62,0,0,1,4237,,,,
146,30.0,0,0,2,1,1,0.08,2,21,1.21,1,1.36,0,0,1,4393,,,,
147,28.0,0,0,2,1,1,0.08,3,22,0.82,2,0.88,0,1,0,6923,,,,
148,27.0,0,0,2,1,1,0.31,3,6,1.13,6,0.78,1,0,0,11050,,,,
149,34.0,1,0,2,1,1,0.31,1,15,0.97,0,1.31,0,1,0,3827,,,,
150,27.0,1,0,2,1,1,0.31,3,8,0.98,0,0.98,0,1,0,10562,,,,
151,26.0,1,0,2,1,1,0.31,1,20,0.91,2,1.03,0,0,1,8097,,,,
152,26.0,0,0,2,1,1,0.03,1,44,0.47,2,0.87,0,1,0,5061,,,,
153,36.0,0,0,1,1,0,0.31,3,4,1.14,0,0.71,0,1,0,3275,,,,
154,28.0,0,0,3,1,1,0.06,2,27,1.12,3,1.37,0,1,0,4368,,,,
155,35.0,0,1,2,1,0,0.31,3,13,1.13,0,0.90,0,0,1,3335,,,,
156,33.0,1,0,2,1,1,0.07,2,7,0.90,4,1.67,0,1,0,3054,,,,
157,37.0,0,0,3,0,1,0.03,4,56,1.02,5,0.87,0,1,0,3754,,,,
158,35.0,0,0,2,1,1,0.06,3,18,0.52,6,1.18,0,1,0,3934,,,,
159,33.0,0,0,3,1,1,0.20,1,12,0.78,1,1.61,0,1,0,3361,,,,
160,33.0,0,1,2,1,0,0.11,2,21,0.89,0,1.25,0,1,0,3255,,,,
161,26.0,0,0,2,1,1,0.03,4,44,0.74,5,1.03,0,0,1,5669,,,,
162,38.0,0,0,2,1,0,0.11,4,8,1.30,0,1.20,0,0,1,3089,,,,
163,30.0,0,0,2,1,1,0.20,4,25,0.70,2,0.88,0,1,0,6987,,,,
164,35.0,1,0,2,1,1,0.31,2,5,1.18,3,1.75,0,0,0,3401,,,,
165,29.0,1,1,2,1,1,0.08,2,9,0.67,6,1.30,0,0,0,4357,,,,
166,27.0,1,0,2,1,1,0.31,3,11,1.36,6,0.89,0,0,1,4958,,,,
167,30.0,0,0,2,1,1,0.20,3,5,0.74,3,0.76,0,1,0,5311,,,,
168,26.0,1,0,3,0,0,0.06,2,17,0.92,0,1.03,0,1,0,5576,,,,
169,32.0,0,0,3,1,0,0.06,3,16,0.74,0,0.79,0,0,1,3814,,,,
170,35.0,0,0,2,1,0,0.31,3,51,0.90,0,1.20,0,0,1,3096,,,,
171,27.0,1,0,2,1,1,0.03,2,54,1.12,8,1.03,0,0,1,6202,,,,
172,33.0,0,0,3,1,1,0.03,1,17,0.86,1,1.44,0,0,1,3077,,,,
173,36.0,1,0,3,1,1,0.20,1,21,2.30,4,1.36,0,0,1,3651,,,,
174,26.0,1,1,2,1,0,0.01,2,9,0.93,0,0.60,0,1,0,4893,,,,
175,39.0,0,0,2,1,1,0.04,3,10,0.70,3,1.54,0,1,0,3224,,,,
176,40.0,1,0,3,1,1,0.02,2,7,1.11,0,1.67,0,1,0,3166,,,,
177,40.0,0,0,2,1,0,0.06,4,1,1.00,0,0.58,1,0,0,3424,,,,
178,28.0,0,0,2,1,1,0.02,2,1,1.00,6,0.86,1,0,0,4285,,,,
179,27.0,0,1,3,1,1,0.03,2,19,1.24,1,0.88,0,1,0,5004,,,,
180,30.0,0,0,2,1,1,0.20,1,53,0.60,1,0.92,0,1,0,4176,,,,
181,33.0,0,0,3,0,0,0.20,5,7,1.12,0,1.05,0,1,0,3110,,,,
182,37.0,1,0,2,1,1,0.02,1,2,1.00,3,2.98,0,1,0,3294,,,,
183,28.0,1,0,2,1,1,0.11,2,54,0.79,8,1.03,0,0,1,5943,,,,
184,26.0,1,0,2,1,1,0.11,2,12,0.94,3,1.55,0,1,0,4340,,,,
185,26.0,0,0,2,1,0,0.31,1,30,0.87,0,0.95,0,1,0,5869,,,,
186,29.0,0,0,2,1,1,0.08,2,72,0.65,6,1.03,0,0,1,4175,,,,
187,26.0,1,0,2,1,1,0.11,2,31,0.90,1,1.59,0,0,1,4018,,,,
188,40.0,0,0,2,1,1,0.11,3,32,1.32,3,1.85,0,0,1,2765,,,,
189,33.0,1,0,2,1,0,0.31,2,7,1.12,0,1.74,0,0,1,2861,,,,
190,26.0,0,1,2,1,1,0.08,2,14,0.69,1,0.92,0,1,0,6248,,,,
191,26.0,0,0,2,1,1,0.11,1,10,0.92,1,1.84,0,0,1,7521,,,,
192,30.0,0,0,2,1,1,0.20,3,22,0.95,2,0.88,0,1,0,8663,,,,
193,30.0,0,0,2,1,1,0.20,2,20,0.97,4,1.73,0,0,1,4058,,,,
194,31.0,0,0,2,1,1,0.11,3,6,0.87,3,2.04,0,0,0,3652,,,,
195,40.0,1,0,2,1,1,0.31,1,6,1.03,0,0.82,0,0,1,3771,,,,
196,27.0,0,0,2,1,0,0.03,2,47,0.84,0,0.90,0,0,1,4273,,,,
197,30.0,1,0,2,1,1,0.07,2,3,0.92,4,1.54,0,1,0,6110,,,,
198,26.0,0,0,2,1,1,0.31,2,38,0.93,4,0.76,0,0,1,6099,,,,
199,27.0,1,0,2,1,1,0.11,2,24,0.97,3,1.83,0,0,1,8523,,,,
200,27.0,1,0,3,1,1,0.31,1,20,1.29,4,1.45,0,0,0,5050,,,,
201,38.0,1,0,3,1,0,0.07,4,3,1.00,0,0.83,1,0,0,3569,,,,
202,36.0,0,1,2,1,0,0.31,1,6,1.00,0,1.05,0,1,0,3346,,,,
203,33.0,1,1,2,1,0,0.20,1,14,1.30,0,1.51,0,0,1,3132,,,,
204,28.0,0,0,2,1,1,0.31,3,39,1.34,4,0.76,0,0,1,6259,,,,
205,30.0,1,0,2,1,1,0.06,3,12,0.83,6,1.18,0,1,0,4666,,,,
206,27.0,0,0,3,0,1,0.31,4,47,0.86,8,0.51,0,0,1,20035,,,,
207,30.0,1,0,2,1,1,0.02,2,22,1.19,4,0.89,0,1,0,7525,,,,
208,26.0,0,0,2,1,1,0.31,3,2,1.00,4,0.71,0,1,0,4101,,,,
209,30.0,0,0,3,1,1,0.20,4,17,0.82,5,1.26,0,0,0,5507,,,,
210,29.0,1,0,2,1,1,0.11,2,41,1.21,8,0.51,0,0,1,5606,,,,
211,28.0,0,0,2,1,1,0.11,4,5,0.77,5,1.12,0,0,0,7811,,,,
212,29.0,0,0,2,1,0,0.31,1,2,1.25,0,0.98,0,1,0,4922,,,,
213,27.0,1,0,2,1,1,0.08,2,15,1.13,2,0.77,0,1,0,4504,,,,
214,34.0,1,0,2,1,0,0.07,1,2,1.00,0,1.91,0,0,0,3022,,,,
215,28.0,0,1,2,1,0,0.31,2,50,0.72,0,0.51,0,0,1,7730,,,,
216,34.0,1,1,2,1,1,0.31,2,21,1.24,2,1.84,0,0,1,3354,,,,
217,31.0,0,1,2,1,0,0.20,2,8,0.97,0,1.55,0,1,0,3445,,,,
218,36.0,0,0,2,1,0,0.04,3,51,0.90,0,1.36,0,0,1,3626,,,,
219,30.0,1,0,2,1,1,0.31,1,21,0.86,0,1.21,0,0,1,4369,,,,
220,26.0,0,0,2,1,1,0.31,2,7,1.15,1,0.51,0,0,1,4274,,,,
221,28.0,0,0,3,1,1,0.20,3,1,1.00,2,0.58,1,0,0,4349,,,,
222,26.0,0,0,2,1,1,0.11,3,32,1.57,3,1.85,0,0,1,4105,,,,
223,26.0,0,0,3,0,0,0.31,5,26,0.54,0,0.78,0,1,0,7302,,,,
224,26.0,1,0,3,1,1,0.31,2,48,1.27,10,1.03,0,0,1,4768,,,,
225,27.0,0,0,2,1,0,0.31,2,37,0.98,0,0.90,0,0,1,4703,,,,
226,26.0,0,1,2,1,0,0.31,1,15,0.88,0,0.66,0,1,0,4649,,,,
227,29.0,1,0,2,1,1,0.31,2,30,0.84,4,1.04,0,1,0,4689,,,,
228,31.0,0,0,2,1,1,0.20,1,17,1.00,2,4.18,0,0,1,3594,,,,
229,35.0,1,0,2,1,1,0.31,2,10,0.95,1,1.41,0,1,0,3523,,,,
230,26.0,0,1,2,1,0,0.31,2,50,1.01,0,0.61,0,0,1,4284,,,,
231,35.0,0,0,3,1,1,0.00,1,3,1.23,1,2.84,0,1,0,2906,,,,
232,28.0,0,0,2,1,1,0.02,1,23,0.89,6,0.64,0,1,0,5189,,,,
233,34.0,1,0,1,1,1,0.20,1,3,1.00,6,0.47,1,0,0,3159,,,,
234,30.0,1,0,2,1,1,0.20,3,1,1.00,2,0.59,0,1,0,6774,,,,
235,36.0,0,0,2,1,1,0.03,3,27,1.05,3,1.84,0,0,1,3534,,,,
236,29.0,0,0,2,1,1,0.03,1,15,1.11,1,0.98,0,1,0,4342,,,,
237,39.0,0,0,1,1,1,0.07,3,17,0.76,0,0.93,0,1,0,2953,,,,
238,30.0,1,0,2,1,1,0.07,4,36,0.82,1,1.68,0,1,0,4217,,,,
239,30.0,1,0,2,1,1,0.03,2,15,1.03,3,1.37,0,1,0,5574,,,,
240,26.0,0,0,3,1,1,0.20,4,10,1.06,5,1.14,0,1,0,8703,,,,
241,26.0,0,0,3,0,1,0.11,1,10,0.98,5,0.98,0,1,0,9035,,,,
242,28.0,0,0,2,1,1,0.31,1,59,0.91,6,0.64,0,1,0,6105,,,,
243,32.0,0,0,2,1,0,0.31,1,17,1.35,0,1.21,0,0,1,3133,,,,
244,34.0,1,0,2,1,1,0.04,2,1,1.00,8,0.49,0,1,0,3311,,,,
245,35.0,0,0,1,1,0,0.31,3,5,1.13,0,0.82,1,0,0,3726,,,,
246,29.0,1,0,3,1,1,0.08,2,48,0.53,10,1.03,0,0,1,10270,,,,
247,30.0,1,0,2,1,1,0.20,2,43,0.95,7,1.03,0,0,1,5379,,,,
248,30.0,0,0,2,1,0,0.20,1,16,1.38,0,0.76,0,0,1,4380,,,,
249,30.0,0,0,2,1,1,0.08,2,6,0.95,10,1.24,0,0,0,4390,,,,
250,34.0,0,0,2,1,1,0.07,3,6,0.87,3,2.04,0,0,0,2920,,,,
251,32.0,0,0,3,1,1,0.31,1,13,1.20,1,1.82,0,0,0,3832,,,,
252,35.0,1,0,2,1,1,0.01,2,1,1.00,1,0.98,0,1,0,3157,,,,
253,35.0,0,1,2,1,1,0.20,2,13,0.82,0,1.51,0,0,1,3562,,,,
254,36.0,0,0,2,1,1,0.07,2,12,1.12,1,1.30,0,0,1,3674,,,,
255,40.0,0,0,2,1,1,0.31,4,16,0.87,2,1.21,0,0,1,2913,,,,
256,29.0,0,0,2,1,1,0.08,3,38,0.86,2,1.94,0,0,1,4582,,,,
257,29.0,1,0,2,1,1,0.04,1,27,0.91,0,1.19,0,1,0,4987,,,,
258,20.0,0,0,3,0,1,0.11,4,47,0.99,8,0.51,0,0,1,24574,,,,
259,32.0,0,0,2,1,1,0.06,2,23,1.12,3,0.61,0,0,1,3259,,,,
260,37.0,0,0,3,1,0,0.31,1,20,0.87,0,1.21,0,0,1,2969,,,,
261,37.0,0,0,2,1,1,0.06,2,4,0.48,0,0.66,0,1,0,3304,,,,
262,27.0,0,0,2,1,1,0.20,3,10,1.17,0,1.09,0,1,0,5810,,,,
263,29.0,1,0,2,1,1,0.31,1,53,0.76,6,0.64,0,1,0,7040,,,,
264,36.0,0,0,3,1,0,0.31,3,3,1.38,0,1.04,0,0,1,2851,,,,
265,27.0,1,0,2,1,1,0.11,2,40,0.73,4,1.20,0,0,1,4822,,,,
266,37.0,1,0,2,1,1,0.20,3,2,1.00,1,2.67,0,1,0,3220,,,,
267,33.0,0,0,2,1,1,0.20,2,2,1.07,3,1.41,1,0,0,3733,,,,
268,32.0,1,1,2,1,1,0.08,1,2,0.75,1,0.58,0,0,1,3651,,,,
269,30.0,0,0,2,1,1,0.11,2,58,1.01,0,1.70,0,0,1,4283,,,,
270,34.0,1,0,2,1,1,0.20,1,16,1.28,1,1.84,0,0,1,3557,,,,
271,29.0,0,0,2,1,1,0.31,2,47,0.70,5,1.20,0,0,1,5229,,,,
272,30.0,1,0,2,1,1,0.20,1,20,1.14,2,1.03,0,0,1,5161,,,,
273,29.0,0,0,2,1,1,0.20,1,28,1.06,1,0.82,0,1,0,6072,,,,
274,26.0,0,0,2,1,1,0.31,2,12,0.91,4,0.89,0,1,0,9406,,,,
275,28.0,0,0,3,1,1,0.31,3,21,1.03,4,1.68,0,0,1,4707,,,,
276,29.0,0,0,2,1,1,0.03,2,3,0.91,6,0.91,1,0,0,4792,,,,
277,29.0,1,0,2,1,1,0.31,2,24,0.97,3,1.83,0,0,1,5628,,,,
278,38.0,0,0,2,1,0,0.06,4,8,1.58,0,1.15,0,1,0,3118,,,,
279,34.0,1,0,2,1,1,0.20,2,3,0.92,2,1.14,0,0,0,3656,,,,
280,29.0,1,0,2,1,1,0.20,2,29,0.83,4,0.76,0,0,1,7073,,,,
281,35.0,0,0,2,1,1,0.31,3,12,1.45,0,1.02,0,0,1,3841,,,,
282,36.0,1,0,2,1,1,0.11,3,26,1.08,2,1.14,0,0,1,3674,,,,
283,31.0,0,1,2,1,1,0.20,2,31,0.82,3,1.94,0,0,1,3350,,,,
284,40.0,1,0,2,1,1,0.06,2,31,1.25,1,1.59,0,0,1,3197,,,,
285,34.0,0,0,2,1,1,0.31,3,26,1.06,5,0.54,0,0,1,3987,,,,
286,39.0,0,0,2,1,1,0.00,2,27,0.87,10,1.03,0,0,1,3852,,,,
287,30.0,0,0,3,0,1,0.31,4,56,1.02,5,0.87,0,1,0,4006,,,,
288,30.0,1,0,3,1,1,0.04,2,31,1.43,5,0.76,0,0,1,6323,,,,
289,29.0,1,0,2,1,1,0.07,4,36,0.82,1,1.68,0,1,0,4218,,,,
290,28.0,0,0,3,1,1,0.02,2,9,1.08,4,0.81,0,0,0,5199,,,,
291,26.0,0,0,2,1,1,0.07,3,3,1.00,0,2.84,0,1,0,4468,,,,
292,36.0,1,0,3,1,1,0.02,2,15,0.82,0,2.54,0,0,1,3619,,,,
